Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8458476169412805,0.41836734693877553,0.8137996219281664,0.5526315789473685,0.9079114549610386
Random Forest,0.9035718235098972,0.6788461538461539,0.333648393194707,0.44740177439797213,0.9279361231420444
XGBoost,0.8738250580559549,0.47669848399775405,0.8024574669187146,0.5980979218034519,0.9263336975164919
